"","ump_name","MSE_baseline_avg","MSE_avg","MSE_se","MSE_hg_avg","MSE_hg_se","hg_edf"
"1","Brian O'Nora",0.0824858470753967,0.0531138744918535,0.00207162521854516,0.0510842137185717,0.00192508521247292,54.3816811393542
"2","Rob Drake",0.0777994502808777,0.05208542606527,0.00171112141956209,0.0495890206135233,0.00203158491772286,54.3816811393542
"3","Chris Guccione",0.0679860782298182,0.0474362684061536,0.00142934735408694,0.0489181021445486,0.00231944012441251,54.3816811393542
"4","Jordan Baker",0.0716866361498947,0.0514088624096066,0.00175947747609204,0.0511695220100713,0.00147428395558776,54.3816811393542
"5","Hunter Wendelstedt",0.0904490108002363,0.0570579679942101,0.00137347396515895,0.0586220178869863,0.00212481030106862,54.3816811393542
"6","Mark Wegner",0.0706694233421764,0.048685739980726,0.00295237166587597,0.0495545218160389,0.00432533981671469,54.3816811393542
"7","Larry Vanover",0.0900333952895114,0.0523567363959195,0.00274765224857064,0.0574358994505737,0.00474633648060506,54.3816811393542
"8","Laz Diaz",0.083510774327828,0.0553003947454072,0.00383643104277067,0.0555597191172407,0.00437716934827922,54.3816811393542
"9","Chris Conroy",0,0,0,0,0,54.3816811393542
"10","Adrian Johnson",0.0742706546359901,0.0495783850078063,0.00126762372375875,0.0499669776243224,0.00203991241435151,64.8449184751256
"11","Ron Kulpa",0,0,0,0,0,54.3816811393542
"12","Marvin Hudson",0,0,0,0,0,54.3816811393542
"13","Dan Iassogna",0,0,0,0,0,54.3816811393542
"14","Mark Carlson",0,0,0,0,0,54.3816811393542
"15","Jerry Layne",0,0,0,0,0,54.3816811393542
"16","Bill Miller",0,0,0,0,0,54.3816811393542
"17","Todd Tichenor",0,0,0,0,0,54.3816811393542
"18","Dan Bellino",0,0,0,0,0,54.3816811393542
"19","Lance Barksdale",0,0,0,0,0,54.3816811393542
"20","Jeff Nelson",0,0,0,0,0,54.3816811393542
"21","Doug Eddings",0,0,0,0,0,54.3816811393542
"22","Jim Wolf",0,0,0,0,0,54.3816811393542
"23","Junior Valentine",0,0,0,0,0,54.3816811393542
"24","Chad Fairchild",0,0,0,0,0,54.3816811393542
"25","Alan Porter",0,0,0,0,0,54.3816811393542
"26","Jansen Visconti",0,0,0,0,0,54.3816811393542
"27","Tony Randazzo",0,0,0,0,0,54.3816811393542
"28","Adam Beck",0,0,0,0,0,54.3816811393542
"29","Ben May",0,0,0,0,0,54.3816811393542
"30","James Hoye",0,0,0,0,0,54.3816811393542
"31","Adam Hamari",0,0,0,0,0,54.3816811393542
"32","Alfonso MÃ¡rquez",0,0,0,0,0,54.3816811393542
"33","Paul Emmel",0,0,0,0,0,54.3816811393542
"34","Charlie Ramos",0,0,0,0,0,54.3816811393542
"35","Mike Estabrook",0,0,0,0,0,54.3816811393542
"36","Chris Segal",0,0,0,0,0,54.3816811393542
"37","Roberto Ortiz",0,0,0,0,0,54.3816811393542
"38","Quinn Wolcott",0,0,0,0,0,54.3816811393542
"39","Erich Bacchus",0,0,0,0,0,54.3816811393542
"40","Nestor Ceja",0,0,0,0,0,54.3816811393542
"41","Stu Scheurwater",0,0,0,0,0,54.3816811393542
"42","Mark Ripperger",0,0,0,0,0,54.3816811393542
"43","Carlos Torres",0,0,0,0,0,54.3816811393542
"44","Gabe Morales",0,0,0,0,0,54.3816811393542
"45","Alex Tosi",0,0,0,0,0,54.3816811393542
"46","Brennan Miller",0,0,0,0,0,54.3816811393542
"47","Edwin Moscoso",0,0,0,0,0,54.3816811393542
"48","Ryan Additon",0,0,0,0,0,54.3816811393542
"49","Ryan Blakney",0,0,0,0,0,54.3816811393542
"50","Nick Mahrley",0,0,0,0,0,54.3816811393542
"51","Bruce Dreckman",0,0,0,0,0,54.3816811393542
"52","Cory Blaser",0,0,0,0,0,54.3816811393542
"53","CB Bucknor",0,0,0,0,0,54.3816811393542
"54","Chad Whitson",0,0,0,0,0,54.3816811393542
"55","Scott Barry",0,0,0,0,0,54.3816811393542
"56","David Rackley",0,0,0,0,0,54.3816811393542
"57","Phil Cuzzi",0,0,0,0,0,54.3816811393542
"58","John Tumpane",0,0,0,0,0,54.3816811393542
"59","Brian Knight",0,0,0,0,0,54.3816811393542
"60","Manny Gonzalez",0,0,0,0,0,54.3816811393542
"61","Tripp Gibson",0,0,0,0,0,54.3816811393542
"62","Pat Hoberg",0,0,0,0,0,54.3816811393542
"63","Andy Fletcher",0,0,0,0,0,54.3816811393542
"64","Will Little",0,0,0,0,0,54.3816811393542
"65","Vic Carapazza",0,0,0,0,0,54.3816811393542
"66","Nate Tomlinson",0,0,0,0,0,54.3816811393542
"67","Clint Vondrak",0,0,0,0,0,54.3816811393542
"68","Sean Barber",0,0,0,0,0,54.3816811393542
"69","Ryan Wills",0,0,0,0,0,54.3816811393542
"70","Jeremie Rehak",0,0,0,0,0,54.3816811393542
"71","Ramon De Jesus",0,0,0,0,0,54.3816811393542
"72","John Libka",0,0,0,0,0,54.3816811393542
"73","Nic Lentz",0,0,0,0,0,54.3816811393542
"74","D.J. Reyburn",0,0,0,0,0,54.3816811393542
"75","Lance Barrett",0,0,0,0,0,54.3816811393542
"76","Dan Merzel",0,0,0,0,0,54.3816811393542
"77","Mike Muchlinski",0,0,0,0,0,54.3816811393542
"78","Malachi Moore",0,0,0,0,0,54.3816811393542
"79","Shane Livensparger",0,0,0,0,0,54.3816811393542
"80","Alex MacKay",0,0,0,0,0,54.3816811393542
"81","Brock Ballou",0,0,0,0,0,54.3816811393542
"82","Jeremy Riggs",0,0,0,0,0,54.3816811393542
"83","Emil Jimenez",0,0,0,0,0,54.3816811393542
"84","Edwin Jimenez",0,0,0,0,0,54.3816811393542
"85","Derek Thomas",0,0,0,0,0,54.3816811393542
"86","Brian Walsh",0,0,0,0,0,54.3816811393542
"87","Jacob Metz",0,0,0,0,0,54.3816811393542
"88","Tom Hanahan",0,0,0,0,0,54.3816811393542
"89","Jose Navas",0,0,0,0,0,54.3816811393542
"90","John Bacon",0,0,0,0,0,54.3816811393542
"91","Randy Rosenberg",0,0,0,0,0,54.3816811393542
"92","Paul Clemons",0,0,0,0,0,54.3816811393542
"93","Angel Hernandez",0,0,0,0,0,54.3816811393542
"94","David Arrieta",0,0,0,0,0,54.3816811393542
